id,http://underlay.org/ns/Recipe/author,http://underlay.org/ns/Recipe/name,http://underlay.org/ns/Recipe/source
1,,Ukrainian Red Borscht Soup,https://www.allrecipes.com/recipe/84450/ukrainian-red-borscht-soup/
2,,Polish Borscht,https://www.allrecipes.com/recipe/262725/polish-borscht/
3,,Yukon Cornelius Pull-Apart Cupcake Cake,https://www.allrecipes.com/recipe/277690/yukon-cornelius-pull-apart-cupcake-cake/
4,,Cranberry Salad,https://www.allrecipes.com/recipe/212467/cranberry-salad/
5,,Cardamom Maple Salmon,https://www.allrecipes.com/recipe/237297/cardamom-maple-salmon/
6,,Al's Burmese Chicken Curry,https://www.allrecipes.com/recipe/276989/als-burmese-chicken-curry/
7,,Low Carb Turkey-Stuffed Peppers,https://www.allrecipes.com/recipe/276832/low-carb-turkey-stuffed-peppers/
8,,Perfect Lasagna Bolognese,https://www.allrecipes.com/recipe/254700/perfect-lasagna-bolognese/
9,,Turkey Carcass Soup,https://www.allrecipes.com/recipe/218804/turkey-carcass-soup/
10,,West African-Style Peanut Stew with Chicken,https://www.allrecipes.com/recipe/276720/west-african-style-peanut-stew-with-chicken/
11,,Slow Cooker Low-Carb Santa Fe Chicken,https://www.allrecipes.com/recipe/241828/slow-cooker-low-carb-santa-fe-chicken/
12,,Bren's Italian Meatballs,https://www.allrecipes.com/recipe/247370/brens-italian-meatballs/
13,,Campfire Pepperoni Pizza,https://www.allrecipes.com/recipe/215041/campfire-pepperoni-pizza/
14,,True Cheeseburger Pizza,https://www.allrecipes.com/recipe/231771/true-cheeseburger-pizza/
15,,Chicken Lemon Linguine,https://www.allrecipes.com/recipe/240952/chicken-lemon-linguine/
16,,Honey-Mustard Chicken with Roasted Vegetables,https://www.allrecipes.com/recipe/241559/honey-mustard-chicken-with-roasted-vegetables/
17,,Gluten-Free Mac-n-Cheese,https://www.allrecipes.com/recipe/246771/gluten-free-mac-n-cheese/
18,,Mushroom Pie,https://www.allrecipes.com/recipe/88086/mushroom-pie/
19,,Onion Tart,https://www.allrecipes.com/recipe/15629/onion-tart/
