id,http://purl.obolibrary.org/obo/FOODON_00001002/iri,http://purl.obolibrary.org/obo/FOODON_00001002/label
1,http://purl.obolibrary.org/obo/FOODON_03301826,olive oil
2,http://purl.obolibrary.org/obo/FOODON_03412940,red beet plant
3,http://purl.obolibrary.org/obo/FOODON_03540712,07120 - carrots (efsa foodex2)
4,http://purl.obolibrary.org/obo/FOODON_03307036,"idaho russet potato (whole, raw)"
5,http://purl.obolibrary.org/obo/FOODON_00002921,green cabbage
6,http://purl.obolibrary.org/obo/FOODON_03305208,"garlic (whole, raw)"
7,http://purl.obolibrary.org/obo/FOODON_03309462,broth
8,http://purl.obolibrary.org/obo/FOODON_03302091,beef broth
9,http://purl.obolibrary.org/obo/FOODON_00001811,dill food product
10,http://purl.obolibrary.org/obo/FOODON_03305428,lemon juice
11,http://purl.obolibrary.org/obo/FOODON_00003284,lemon zest
12,http://purl.obolibrary.org/obo/FOODON_03301173,bay leaf (dried)
13,http://purl.obolibrary.org/obo/FOODON_03306035,pickle (kosher)
14,http://purl.obolibrary.org/obo/FOODON_00001649,black or white pepper product
15,http://purl.obolibrary.org/obo/FOODON_03302515,sour cream
